decision,idealism,relatvsm,gender,cosmetic,theory,meat,veterin
0,8.2000,5.1000,0,1,0,0,0
1,6.8000,5.3000,1,1,0,0,0
1,8.2000,6.0000,0,1,0,0,0
0,7.4000,6.2000,0,1,0,0,0
1,1.7000,3.1000,0,1,0,0,0
1,5.6000,7.7000,1,1,0,0,0
0,7.2000,6.7000,0,1,0,0,0
0,7.8000,4.0000,1,1,0,0,0
0,7.8000,4.7000,0,1,0,0,0
0,8.0000,7.6000,0,1,0,0,0
0,5.0000,5.9000,1,1,0,0,0
0,5.2000,5.7000,0,1,0,0,0
1,5.5000,4.7000,1,1,0,0,0
0,7.5000,5.7000,0,1,0,0,0
0,7.7000,7.6000,0,1,0,0,0
0,7.4000,7.3000,1,1,0,0,0
0,5.3000,5.0000,0,1,0,0,0
1,6.0000,7.9000,0,1,0,0,0
0,6.5000,6.9000,0,1,0,0,0
0,7.6000,3.9000,0,1,0,0,0
1,5.7000,5.6000,0,1,0,0,0
1,4.7000,7.4000,0,1,0,0,0
0,6.6000,6.7000,0,1,0,0,0
1,5.6000,5.0000,1,1,0,0,0
0,7.5000,6.2000,0,1,0,0,0
1,5.1000,7.3000,0,1,0,0,0
1,6.5000,5.5000,0,1,0,0,0
1,4.5000,5.8000,1,1,0,0,0
0,6.9000,5.7000,1,1,0,0,0
0,8.0000,6.7000,0,1,0,0,0
0,8.5000,3.2000,0,1,0,0,0
0,8.4000,7.8000,0,1,0,0,0
1,6.1000,5.7000,1,1,0,0,0
1,7.4000,6.4000,1,1,0,0,0
1,4.1000,5.3000,1,1,0,0,0
0,6.2000,5.9000,1,1,0,0,0
1,6.7000,6.1000,1,1,0,0,0
1,6.7000,5.8000,1,1,0,0,0
1,7.9000,5.9000,1,1,0,0,0
0,7.3000,5.8000,0,1,0,0,0
0,5.3000,5.9000,0,1,0,0,0
1,5.4000,7.3000,1,1,0,0,0
0,8.5000,7.4000,0,1,0,0,0
0,6.7000,6.2000,1,1,0,0,0
1,4.6000,8.4000,1,1,0,0,0
0,8.6000,6.9000,0,1,0,0,0
0,7.7778,7.1111,1,1,0,0,0
0,5.9000,6.0000,0,1,0,0,0
1,6.9000,5.6667,1,1,0,0,0
1,6.7000,7.8000,1,1,0,0,0
0,6.2000,7.2000,0,1,0,0,0
0,5.9000,5.5000,1,1,0,0,0
0,6.6000,7.0000,0,1,0,0,0
0,7.0000,6.8000,0,1,0,0,0
0,6.9000,5.7000,0,1,0,0,0
0,8.1000,5.7000,0,1,0,0,0
0,6.1000,6.2000,1,1,0,0,0
1,7.6000,6.1000,1,1,0,0,0
1,6.4000,6.5000,0,1,0,0,0
0,6.1000,6.0000,1,1,0,0,0
0,8.9000,3.9000,1,1,0,0,0
1,6.2000,7.5000,1,1,0,0,0
1,6.6000,6.1000,1,0,1,0,0
0,6.8000,5.7000,0,0,1,0,0
0,6.0000,5.4000,0,0,1,0,0
0,7.8000,8.3000,1,0,1,0,0
1,5.4000,7.2000,1,0,1,0,0
0,8.3000,6.2000,0,0,1,0,0
1,8.0000,7.0000,1,0,1,0,0
0,6.2500,5.1000,1,0,1,0,0
0,5.0000,8.0000,1,0,1,0,0
0,8.1111,4.5000,1,0,1,0,0
0,6.4000,6.3000,0,0,1,0,0
1,7.0000,6.9000,0,0,1,0,0
1,6.4000,6.3000,1,0,1,0,0
